Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
F,40,Latino,Grad,<25K,North,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,218,41,1,7,2,0,4
F,49,Latino,Mid-School,50K -- 100K,East,City Hotel,3,3,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,185,36,1,7,2,0,6
F,42,caucasian,Grad,<25K,East,City Hotel,3,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,119,3,4,7,3,0,6
M,25,African American,College,>100K,South,Airport Hotels,4,3,0,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,5,144,12,1,7,3,0,7
F,62,Latino,High-School,25K --50K,East,Resort,1,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,242,13,1,7,4,0,2
M,34,African American,College,>100K,North,Airport Hotels,5,2,1,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,10,143,13,1,7,4,0,8
M,40,Latino,Mid-School,>100K,North,City Hotel,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-Out,No,0,170,8,1,7,4,0,3
M,59,African American,Mid-School,>100K,West,Resort,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,10,245,84,1,5,2,0,5
M,21,Latino,Grad,50K -- 100K,West,City Hotel,2,3,0,HB,Yes,No,Refundable,Online,No,Check-Out,Yes,20,212,72,3,4,2,0,5
M,69,African American,High-School,<25K,South,City Hotel,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-Out,No,0,106,20,3,6,1,0,4
F,52,Latino,College,50K -- 100K,South,Airport Hotels,4,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,208,34,1,7,6,1,7
M,55,caucasian,College,25K --50K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-Out,No,0,145,67,1,7,6,1,3
